Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Castilla y León;Segovia;;Renta neta media por persona;2021;13.324
Total Nacional;Castilla y León;Segovia;;Renta neta media por persona;2020;12.722
Total Nacional;Castilla y León;Segovia;;Renta neta media por persona;2019;12.482
Total Nacional;Castilla y León;Segovia;;Renta neta media por persona;2018;11.922
Total Nacional;Castilla y León;Segovia;;Renta neta media por persona;2017;11.378
Total Nacional;Castilla y León;Segovia;;Renta neta media por persona;2016;11.025
Total Nacional;Castilla y León;Segovia;;Renta neta media por persona;2015;10.730
Total Nacional;Castilla y León;Soria;;Renta neta media por persona;2023;15.626
Total Nacional;Castilla y León;Soria;;Renta neta media por persona;2022;14.721
Total Nacional;Castilla y León;Soria;;Renta neta media por persona;2021;14.385
Total Nacional;Castilla y León;Soria;;Renta neta media por persona;2020;13.889
Total Nacional;Castilla y León;Soria;;Renta neta media por persona;2019;13.353
Total Nacional;Castilla y León;Soria;;Renta neta media por persona;2018;12.907
Total Nacional;Castilla y León;Soria;;Renta neta media por persona;2017;12.377
Total Nacional;Castilla y León;Soria;;Renta neta media por persona;2016;11.961
Total Nacional;Castilla y León;Soria;;Renta neta media por persona;2015;11.674
Total Nacional;Castilla y León;Valladolid;;Renta neta media por persona;2023;15.590
Total Nacional;Castilla y León;Valladolid;;Renta neta media por persona;2022;14.658
Total Nacional;Castilla y León;Valladolid;;Renta neta media por persona;2021;13.987
Total Nacional;Castilla y León;Valladolid;;Renta neta media por persona;2020;13.490
Total Nacional;Castilla y León;Valladolid;;Renta neta media por persona;2019;13.344
Total Nacional;Castilla y León;Valladolid;;Renta neta media por persona;2018;12.905
Total Nacional;Castilla y León;Valladolid;;Renta neta media por persona;2017;12.396
Total Nacional;Castilla y León;Valladolid;;Renta neta media por persona;2016;12.050
Total Nacional;Castilla y León;Valladolid;;Renta neta media por persona;2015;11.682
Total Nacional;Castilla y León;Zamora;;Renta neta media por persona;2023;13.897
Total Nacional;Castilla y León;Zamora;;Renta neta media por persona;2022;12.913
Total Nacional;Castilla y León;Zamora;;Renta neta media por persona;2021;12.292
Total Nacional;Castilla y León;Zamora;;Renta neta media por persona;2020;11.737
Total Nacional;Castilla y León;Zamora;;Renta neta media por persona;2019;11.520
Total Nacional;Castilla y León;Zamora;;Renta neta media por persona;2018;10.971
Total Nacional;Castilla y León;Zamora;;Renta neta media por persona;2017;10.431
Total Nacional;Castilla y León;Zamora;;Renta neta media por persona;2016;10.102
Total Nacional;Castilla y León;Zamora;;Renta neta media por persona;2015;9.859
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por persona;2023;13.058
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por persona;2022;12.305
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por persona;2021;11.652
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por persona;2020;11.104
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por persona;2019;10.901
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por persona;2018;10.351
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por persona;2017;9.847
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por persona;2016;9.446
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por persona;2015;9.150
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por persona;2023;12.529
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por persona;2022;11.724
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por persona;2021;11.051
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por persona;2020;10.570
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por persona;2019;10.431
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por persona;2018;10.001
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por persona;2017;9.482
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por persona;2016;9.056
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por persona;2015;8.786
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por persona;2023;12.725
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por persona;2022;12.022
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por persona;2021;11.550
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por persona;2020;10.991
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por persona;2019;10.680
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por persona;2018;10.212
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por persona;2017;9.722
